Date,Added,Removed
2000-01-03,Icon Medialab;Securitas B;WM-data B,Scania B;Stora Enso A
2000-05-11,Sandvik,Sandvik A;Sandvik B
2000-06-13,Telia,
2000-07-03,Framfab,
2001-01-02,Assa Abloy,Kinnevik B;Trelleborg B
2001-07-02,Eniro;Europolitan Vodafone,Framfab;Icon Medialab
2003-01-02,Alfa Laval;Swedish Match,Pharmacia & Upjohn;WM-data B
2003-07-01,Drott B,Europolitan Vodafone
2006-07-03,Boliden;Vostok Nafta Ltd,Fabege B;Old Mutual
2007-01-02,Scania B,Holmen B
2007-07-02,SSAB A,Stora Enso R
2008-01-02,Lundin Petroleum;Autoliv SDB,
2009-01-02,,Vostok Gas Ltd
2009-07-01,Getinge B;Modern Times Group B,Eniro
2014-06-05,,Scania B
2014-07-01,Kinnevik B,
2016-01-04,Fingerprint Cards B;Modern Times Group B,
2017-01-02,Autoliv SDB;Nokia Oyj,
2017-06-12,Essity B,
2018-01-02,,Lundin Petroleum
2018-07-02,Hexagon B,Fingerprint Cards B
2021-01-04,Evolution;SSAB A,
2021-07-01,Sinch;Securitas B,
2022-07-01,Samhällsbyggnadsbolaget i Norden B;Skanska B,
2022-11-18,,Swedish Match
2023-01-02,,Nibe Industrier B
2024-07-01,SAAB B;Autoliv SDB,
